0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:14 +0900] "GET /sht_webapp/images/leftmenu/bl_depth01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:14 +0900] "GET /sht_webapp/images/leftmenu/leftmenu_repeat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:14 +0900] "GET /sht_webapp/images/leftmenu/leftmenu_top.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:14 +0900] "GET /sht_webapp/images/leftmenu/leftmenu_bottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:14 +0900] "GET /sht_webapp/images/bl_grayarrow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "POST /sht_webapp/uat/uia/actionLogin.do HTTP/1.1" 200 8588
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/header/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/question.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/main_titleimage.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_subtitle01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/btn_more.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_subtitle02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_product.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_service.gif HTTP/1.1" 304 -
